22,FT,"PIPE, STEEL, 16 IN O.D. X .375 IN WALL, HFW, BEVELED END, API 5L, GRADE B, FUSION BONDED EPOXY COATING ",44800
1,EA,"VALVE, BALL, FULL BORE, 16 IN, CLASS 600, WELD END, .375 IN WALL, GRADE B PIPE, CARBON STEEL BODY, LESS GEAR OPERATED WITH EXTENDED STEM, VALVE SHALL BE DESIGNED, MANUFACTURED, TESTED AND INSPECTED IN ACCORDANCE WITH COMPANY STANDARD ES 3.0502, LATEST REVISION.  VALVES TO BE SUPPLIED WITH 7'-6"" EXTENSION AS MEASURED FROM THE CENTER LINE OF VALVE TO THE TOP FLANGE ON EXTENSION.  BODY BLEEDS AND LINE  LUBE FITTINGS TO BE EXTENDED TO JUST BELOW TOP FLANGE ON STEM EXTENSION.  STEM EXTENSION LENGTH TO BE CONFIRMED PRIOR TO MANUFACTURE.   VALVE AND EXTENSION TO BE COAL TAR EPOXY COATED IN ACCORDANCE WITH ES-PC4.1, LATEST REVISION. C/W COMPANY APPROVED BLEEDER VALVE, NIPPLE, AND HEX PLUG",124800
34,FT,"PIPE, STEEL, 16 IN O.D. X .375 IN WALL, HFW, BEVELED END, API 5L, GRADE B, FUSION BONDED EPOXY COATING ",44800
4,EA,"ELBOW, PIPE, WELD, 16 IN, .375 IN WALL THICKNESS, 45 DEGREE, 3R, ANSI B16.9 & ASTM A234, GRADE WPB, BARE",404800
1,EA,"VALVE, BALL, FULL BORE, 4 IN, CLASS 600, WELD END, .337 IN WALL, GRADE B PIPE, CARBON STEEL BODY,WRENCH OPERATED, WITHOUT PUPS, VALVE SHALL BE DESIGNED, MANUFACTURED, TESTED AND INSPECTED IN ACCORDANCE WITH COMPANY STANDARD ES-3.0502, LATEST REVISION. C/W COMPANY APPROVED  BLEEDER VALVE, NIPPLE, AND HEX PLUG",122400
1,EA,"VALVE, BALL, FULL BORE, 2 IN, CLASS 600, WELD END, .218 IN WALL, GRADE B PIPE, CARBON STEEL BODY,WRENCH OPERATED, WITHOUT PUPS, VALVE SHALL BE DESIGNED, MANUFACTURED, TESTED AND INSPECTED IN ACCORDANCE WITH COMPANY STANDARD ES-3.0502, LATEST REVISION. C/W COMPANY APPROVED  BLEEDER VALVE, NIPPLE, AND HEX PLUG",121600
2,EA,"VALVE, BALL, PER ANSI B16.34, FULL BORE, 1/2 IN, 3000 PSI, @ -20 TO 100 DEGREES F., THREADED FEMALE ENDS, PIPE, FNTP, CARBON STEEL BODY, HAND LEVER, WITH LOCKING DEVICES WORCESTER 446YB-SE-05K      ",X
1,EA,"VALVE, BALL, FULL BORE, 4 IN, CLASS 600, WELD END, .337 IN WALL, GRADE B PIPE, CARBON STEEL BODY, WRENCH OPERATED WITH EXTENDED STEM, VALVE SHALL BE DESIGNED, MANUFACTURED, TESTED AND INSPECTED IN ACCORDANCE WITH COMPANY STANDARD ES-3.0502, LATEST REVISION.  VALVES TO BE SUPPLIED WITH 10'-0"" EXTENSION AS MEASURED FROM THE CENTER LINE OF VALVE TO THE TOP FLANGE ON EXTENSION.  BODY BLEEDS AND LINE  LUBE FITTINGS TO BE EXTENDED TO JUST BELOW TOP FLANGE ON STEM EXTENSION.  STEM EXTENSION LENGTH TO BE CONFIRMED PRIOR TO MANUFACTURE.   VALVE AND EXTENSION TO BE COAL TAR EPOXY COATED IN ACCORDANCE WITH ES-PC4.1, LATEST REVISION. C/W COMPANY APPROVED BLEEDER VALVE, NIPPLE, AND HEX PLUG",122401
1,EA,"TEE, PIPE REDUCING, WELD, CARBON STEEL, 6 IN, .432 IN WALL THICKNESS X 4 IN, .337 IN WALL THICKNESS, BARE, ANSI B16.9 & ASTM A234, GRADE WPB",432800
1,EA,"TEE, PIPE REDUCING, WELD, CARBON STEEL, 16 IN, .500 IN WALL THICKNESS (BEVEL TO MATCH .375 IN WALL THICKNESS) X 10 IN, .500 IN WALL THICKNESS, BARE, ANSI B16.9 & ASTM A234, GRADE WPB",434801
1,EA,"TEE, PIPE REDUCING, WELD, CARBON STEEL, 16 IN, .375 IN WALL THICKNESS X 12 IN, .375 IN WALL THICKNESS, BARE, ANSI B16.9 & ASTM A234, GRADE WPB",434802
1,EA,"EXTRUSION, PIPE REDUCING, WELD, CARBON STEEL, BEVEL TO MATCH 16 IN, .375 IN WALL THICKNESS X 4 IN, .337 IN WALL THICKNESS, ANSI B16.9 & ASTM A234, GRADE WPB. APPROVAL FABRICATION DRAWINGS TO BE SUBMITTED AFTER RECEIPT OF PURCHASE ORDER.",434803
1,EA,"REDUCER, PIPE, WELD, CONCENTRIC, 4 IN, .337 IN WALL THICKNESS X 2 IN, .218 IN WALL THICKNESS, B16.9 & ASTM A234, GRADE WPB",442400
1,EA,"REDUCER, PIPE, WELD, CONCENTRIC, 16 IN, .375 IN WALL THICKNESS X 12 IN, .375 IN WALL THICKNESS, B16.9 & ASTM A234, GRADE WPB",444802
1,EA,"REDUCER, PIPE, WELD, CONCENTRIC, 10 IN, .500 IN WALL THICKNESS X 4 IN, .337 IN WALL THICKNESS, B16.9 & ASTM A234, GRADE WPB",444801
2,EA,"PLUG: HEX; 1/2 IN DIA, MNPT, 3000#, ASTM A105",X
8,FT,"PIPE, STEEL, 6.625 IN O.D. X .432 IN WALL, HFW, BEVELED END, API 5L, GRADE B, FUSION BONDED EPOXY COATING",42800
15,FT,"PIPE, STEEL, 4.500 IN O.D. X .337 IN WALL, HFW, BEVELED END, API 5L, GRADE B, FUSION BONDED EPOXY COATING",42400
3,FT,"PIPE, STEEL, 4.500 IN O.D. X .337 IN WALL, HFW, BEVELED END, API 5L, GRADE B, BARE",32400
3,FT,"PIPE, STEEL, 2.375 IN O.D. X .218 IN WALL, SEAMLESS, BEVELED END, API 5L, GRADE B, BARE",31600
8,FT,"PIPE, STEEL, 10.75 IN O.D. X .500 IN WALL, HFW, BEVELED END, API 5L, GRADE B, FUSION BONDED EPOXY COATING ",43600
23,FT,"PIPE, STEEL, 16 IN O.D. X .375 IN WALL, HFW, BEVELED END, API 5L, GRADE B, FUSION BONDED EPOXY COATING ",44800
4,FT,"PIPE, STEEL, 12.75 IN O.D. X .375 IN WALL, HFW, BEVELED END, API 5L, GRADE B, FUSION BONDED EPOXY COATING ",44000
2,EA,"NIPPLE, PIPE, 1/2 IN., X.S., TBE, SEAMLESS, 3 IN LG, WPB, ASTM A234, MSS-SP-95",X
1,EA,"ELBOW, PIPE, BUTT WELD, 6 IN, .482 IN WALL THICKNESS, 90 DEGREE, LR, BARE, ANSI B16.9 & ASTM A234, GRADE WPB",392800
